# Team 0: Quantum Bluff, Team 1: LeTeam
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
92,Pre-Flop,0,104,-104,RAISE,2,"['7d', '3h']","['5h', '5d']","['Ad', '9d']",,,1,1
92,Pre-Flop,1,104,-104,FOLD,0,"['7d', '3h']","['5h', '5d']","['Ad', '9d']",,,2,2
93,Pre-Flop,1,106,-106,FOLD,0,"['4d', '2s']","['7h', '9d']","['8d', 'Ad']",,,1,1
94,Pre-Flop,0,107,-107,RAISE,2,"['As', '2s']","['7h', '6d']","['Ad', '2d']",,,1,1
94,Pre-Flop,1,107,-107,FOLD,0,"['As', '2s']","['7h', '6d']","['Ad', '2d']",,,2,2
95,Pre-Flop,1,109,-109,RAISE,98,"['6d', '8d']","['8h', '8s']","['6s', '2h']",,,1,1
95,Pre-Flop,0,109,-109,CALL,0,"['6d', '8d']","['8h', '8s']","['6s', '2h']",,,2,2
95,Flop,1,109,-109,CHECK,0,"['6d', '8d']","['8h', '8s']","['6s', '2h', '9d']",,,100,100
95,Flop,0,109,-109,CHECK,0,"['6d', '8d']","['8h', '8s']","['6s', '2h', '9d']",,,100,100
95,Turn,1,109,-109,CHECK,0,"['6d', '8d']","['8h', '8s']","['6s', '2h', '9d', '5d']",,,100,100
95,Turn,0,109,-109,CHECK,0,"['6d', '8d']","['8h', '8s']","['6s', '2h', '9d', '5d']",,,100,100
95,River,1,109,-109,CHECK,0,"['6d', '8d']","['8h', '8s']","['6s', '2h', '9d', '5d', '7h']",,,100,100
95,River,0,109,-109,CHECK,0,"['6d', '8d']","['8h', '8s']","['6s', '2h', '9d', '5d', '7h']",,,100,100
96,Pre-Flop,0,109,-109,RAISE,2,"['4h', '2h']","['8d', '9d']","['3s', '4s']",,,1,1
96,Pre-Flop,1,109,-109,FOLD,0,"['4h', '2h']","['8d', '9d']","['3s', '4s']",,,2,2
97,Pre-Flop,1,111,-111,FOLD,0,"['7h', '6d']","['Ad', '3h']","['Ah', '5h']",,,1,1
98,Pre-Flop,0,112,-112,RAISE,2,"['9d', '4s']","['6d', '8s']","['Ah', '2s']",,,1,1
98,Pre-Flop,1,112,-112,FOLD,0,"['9d', '4s']","['6d', '8s']","['Ah', '2s']",,,2,2
99,Pre-Flop,1,114,-114,FOLD,0,"['Ad', '4d']","['8h', '9d']","['6s', '8d']",,,1,1
100,Pre-Flop,0,115,-115,RAISE,2,"['5s', '7s']","['3h', '4s']","['6d', '9h']",,,1,1
100,Pre-Flop,1,115,-115,FOLD,0,"['5s', '7s']","['3h', '4s']","['6d', '9h']",,,2,2
101,Pre-Flop,1,117,-117,FOLD,0,"['9s', '8s']","['4h', '6h']","['2d', '3h']",,,1,1
102,Pre-Flop,0,118,-118,RAISE,2,"['4h', '3h']","['6d', '2s']","['7d', 'Ad']",,,1,1
102,Pre-Flop,1,118,-118,FOLD,0,"['4h', '3h']","['6d', '2s']","['7d', 'Ad']",,,2,2
103,Pre-Flop,1,120,-120,FOLD,0,"['7h', '6d']","['5h', '3h']","['9h', '5d']",,,1,1
104,Pre-Flop,0,121,-121,RAISE,2,"['9s', '2d']","['7s', '9h']","['9d', 'As']",,,1,1
104,Pre-Flop,1,121,-121,FOLD,0,"['9s', '2d']","['7s', '9h']","['9d', 'As']",,,2,2
105,Pre-Flop,1,123,-123,FOLD,0,"['7h', '3h']","['3s', '5d']","['7s', '9h']",,,1,1
106,Pre-Flop,0,124,-124,RAISE,2,"['8h', '4d']","['5d', '7h']","['5h', '6d']",,,1,1
106,Pre-Flop,1,124,-124,FOLD,0,"['8h', '4d']","['5d', '7h']","['5h', '6d']",,,2,2
107,Pre-Flop,1,126,-126,RAISE,98,"['4h', '7h']","['9d', '9h']","['5h', '9s']",,,1,1
107,Pre-Flop,0,126,-126,CALL,0,"['4h', '7h']","['9d', '9h']","['5h', '9s']",,,2,2
107,Flop,1,126,-126,CHECK,0,"['4h', '7h']","['9d', '9h']","['5h', '9s', '8d']",,,100,100
107,Flop,0,126,-126,DISCARD,0,"['4h', '7h']","['9d', '9h']","['5h', '9s', '8d']",,,100,100
107,Flop,0,126,-126,CHECK,0,"['4h', '6s']","['9d', '9h']","['5h', '9s', '8d']",7h,,100,100
107,Turn,1,126,-126,CHECK,0,"['4h', '6s']","['9d', '9h']","['5h', '9s', '8d', '5d']",7h,,100,100
107,Turn,0,126,-126,CHECK,0,"['4h', '6s']","['9d', '9h']","['5h', '9s', '8d', '5d']",7h,,100,100
107,River,1,126,-126,CHECK,0,"['4h', '6s']","['9d', '9h']","['5h', '9s', '8d', '5d', '6d']",7h,,100,100
107,River,0,126,-126,CHECK,0,"['4h', '6s']","['9d', '9h']","['5h', '9s', '8d', '5d', '6d']",7h,,100,100
108,Pre-Flop,0,26,-26,RAISE,2,"['7d', '9s']","['6d', '9d']","['3d', '5s']",,,1,1
108,Pre-Flop,1,26,-26,FOLD,0,"['7d', '9s']","['6d', '9d']","['3d', '5s']",,,2,2
109,Pre-Flop,1,28,-28,FOLD,0,"['6s', '9s']","['2h', '8d']","['7h', '7s']",,,1,1
110,Pre-Flop,0,29,-29,RAISE,2,"['5h', '6h']","['Ah', '7h']","['6s', '4h']",,,1,1
110,Pre-Flop,1,29,-29,CALL,0,"['5h', '6h']","['Ah', '7h']","['6s', '4h']",,,2,2
110,Flop,0,29,-29,RAISE,4,"['5h', '6h']","['Ah', '7h']","['6s', '4h', '8s']",,,4,4
110,Flop,1,29,-29,CALL,0,"['5h', '6h']","['Ah', '7h']","['6s', '4h', '8s']",,,4,4
110,Turn,0,29,-29,RAISE,8,"['5h', '6h']","['Ah', '7h']","['6s', '4h', '8s', '8d']",,,8,8
110,Turn,1,29,-29,CALL,0,"['5h', '6h']","['Ah', '7h']","['6s', '4h', '8s', '8d']",,,8,8
110,River,0,29,-29,RAISE,16,"['5h', '6h']","['Ah', '7h']","['6s', '4h', '8s', '8d', '2h']",,,16,16
110,River,1,29,-29,CALL,0,"['5h', '6h']","['Ah', '7h']","['6s', '4h', '8s', '8d', '2h']",,,16,16
111,Pre-Flop,1,61,-61,FOLD,0,"['7d', '4h']","['9d', '4s']","['2d', '9s']",,,1,1
112,Pre-Flop,0,62,-62,RAISE,2,"['8s', '6s']","['3d', '4h']","['3s', '4s']",,,1,1
112,Pre-Flop,1,62,-62,FOLD,0,"['8s', '6s']","['3d', '4h']","['3s', '4s']",,,2,2
113,Pre-Flop,1,64,-64,FOLD,0,"['3s', '5h']","['8s', '9s']","['6s', '6d']",,,1,1
114,Pre-Flop,0,65,-65,RAISE,2,"['4d', '9h']","['Ad', '2s']","['7h', '8s']",,,1,1
114,Pre-Flop,1,65,-65,FOLD,0,"['4d', '9h']","['Ad', '2s']","['7h', '8s']",,,2,2
115,Pre-Flop,1,67,-67,FOLD,0,"['4d', 'Ad']","['5d', 'Ah']","['3s', 'As']",,,1,1
116,Pre-Flop,0,68,-68,FOLD,0,"['7s', '2d']","['6s', '3s']","['8s', '8d']",,,1,1
117,Pre-Flop,1,67,-67,FOLD,0,"['9d', '6d']","['7s', 'Ad']","['9s', '6s']",,,1,1
118,Pre-Flop,0,68,-68,RAISE,2,"['8h', '7d']","['3d', '6d']","['As', '7s']",,,1,1
118,Pre-Flop,1,68,-68,FOLD,0,"['8h', '7d']","['3d', '6d']","['As', '7s']",,,2,2
119,Pre-Flop,1,70,-70,FOLD,0,"['2h', '4d']","['6h', '4h']","['8d', '7d']",,,1,1
120,Pre-Flop,0,71,-71,RAISE,2,"['3d', '6h']","['7h', '2d']","['6s', '3h']",,,1,1
120,Pre-Flop,1,71,-71,FOLD,0,"['3d', '6h']","['7h', '2d']","['6s', '3h']",,,2,2
121,Pre-Flop,1,73,-73,FOLD,0,"['7s', '5h']","['5s', '6d']","['6h', 'Ah']",,,1,1
122,Pre-Flop,0,74,-74,RAISE,2,"['9s', '6d']","['5d', 'Ad']","['8d', '5s']",,,1,1
122,Pre-Flop,1,74,-74,FOLD,0,"['9s', '6d']","['5d', 'Ad']","['8d', '5s']",,,2,2
123,Pre-Flop,1,76,-76,FOLD,0,"['6s', '9s']","['2d', '8d']","['8s', '4s']",,,1,1
124,Pre-Flop,0,77,-77,RAISE,2,"['5s', '6h']","['4h', '2s']","['Ad', 'Ah']",,,1,1
124,Pre-Flop,1,77,-77,FOLD,0,"['5s', '6h']","['4h', '2s']","['Ad', 'Ah']",,,2,2
125,Pre-Flop,1,79,-79,FOLD,0,"['As', '9s']","['2d', '2h']","['8h', '5d']",,,1,1
126,Pre-Flop,0,80,-80,RAISE,2,"['6s', '8d']","['3d', '5h']","['4s', '4d']",,,1,1
126,Pre-Flop,1,80,-80,FOLD,0,"['6s', '8d']","['3d', '5h']","['4s', '4d']",,,2,2
127,Pre-Flop,1,82,-82,FOLD,0,"['3d', '2d']","['Ad', '9h']","['5s', '6d']",,,1,1
128,Pre-Flop,0,83,-83,RAISE,2,"['3s', '6s']","['3d', '7h']","['6h', '9d']",,,1,1
128,Pre-Flop,1,83,-83,FOLD,0,"['3s', '6s']","['3d', '7h']","['6h', '9d']",,,2,2
