# Team 0: AllInAgent, Team 1: PlayerAgent
hand_number,street,active_team,team_0_bankroll,team_1_bankroll,action_type,action_amount,team_0_cards,team_1_cards,board_cards,team_0_discarded,team_1_discarded,team_0_bet,team_1_bet
26,Flop,0,1452,-1452,CHECK,0,"['8s', '6d']","['6s', '2d']","['3d', '2h', '7s']",,,100,100
26,Flop,1,1452,-1452,DISCARD,0,"['8s', '6d']","['6s', '2d']","['3d', '2h', '7s']",,,100,100
26,Flop,1,1452,-1452,CHECK,0,"['8s', '6d']","['4h', '2d']","['3d', '2h', '7s']",,6s,100,100
26,Turn,0,1452,-1452,CHECK,0,"['8s', '6d']","['4h', '2d']","['3d', '2h', '7s', 'Ah']",,6s,100,100
26,Turn,1,1452,-1452,CHECK,0,"['8s', '6d']","['4h', '2d']","['3d', '2h', '7s', 'Ah']",,6s,100,100
26,River,0,1452,-1452,CHECK,0,"['8s', '6d']","['4h', '2d']","['3d', '2h', '7s', 'Ah', '7h']",,6s,100,100
26,River,1,1452,-1452,FOLD,0,"['8s', '6d']","['4h', '2d']","['3d', '2h', '7s', 'Ah', '7h']",,6s,100,100
27,Pre-Flop,1,1552,-1552,FOLD,0,"['As', '6d']","['7d', '9s']","['5s', '9d']",,,1,1
28,Pre-Flop,0,1553,-1553,RAISE,98,"['3h', '7s']","['6h', '9d']","['8h', '7h']",,,1,1
28,Pre-Flop,1,1553,-1553,DISCARD,0,"['3h', '7s']","['6h', '9d']","['8h', '7h']",,,2,2
28,Pre-Flop,1,1553,-1553,FOLD,0,"['3h', '7s']","['8s', '9d']","['8h', '7h']",,6h,2,2
29,Pre-Flop,1,1555,-1555,CALL,0,"['5h', '9d']","['6s', '2h']","['3d', '9s']",,,1,1
29,Pre-Flop,0,1555,-1555,RAISE,98,"['5h', '9d']","['6s', '2h']","['3d', '9s']",,,2,2
29,Pre-Flop,1,1555,-1555,FOLD,0,"['5h', '9d']","['6s', '2h']","['3d', '9s']",,,2,2
30,Pre-Flop,0,1557,-1557,RAISE,98,"['As', '8d']","['9h', '3d']","['3h', '6s']",,,1,1
30,Pre-Flop,1,1557,-1557,FOLD,0,"['As', '8d']","['9h', '3d']","['3h', '6s']",,,2,2
31,Pre-Flop,1,1559,-1559,RAISE,28,"['9h', '7s']","['5s', '6s']","['8s', '8d']",,,1,1
31,Pre-Flop,0,1559,-1559,RAISE,70,"['9h', '7s']","['5s', '6s']","['8s', '8d']",,,2,2
31,Pre-Flop,1,1559,-1559,CALL,0,"['9h', '7s']","['5s', '6s']","['8s', '8d']",,,30,30
31,Pre-Flop,0,1559,-1559,CHECK,0,"['9h', '7s']","['5s', '6s']","['8s', '8d']",,,100,100
31,Flop,1,1559,-1559,DISCARD,0,"['9h', '7s']","['5s', '6s']","['8s', '8d', '7d']",,,100,100
31,Flop,1,1559,-1559,FOLD,0,"['9h', '7s']","['5s', '5d']","['8s', '8d', '7d']",,6s,100,100
32,Pre-Flop,0,1659,-1659,RAISE,98,"['9s', 'Ad']","['5s', '7s']","['6h', '4d']",,,1,1
32,Pre-Flop,1,1659,-1659,DISCARD,0,"['9s', 'Ad']","['5s', '7s']","['6h', '4d']",,,2,2
32,Pre-Flop,1,1659,-1659,CALL,0,"['9s', 'Ad']","['5s', '6s']","['6h', '4d']",,7s,2,2
32,Flop,0,1659,-1659,CHECK,0,"['9s', 'Ad']","['5s', '6s']","['6h', '4d', '9h']",,7s,100,100
32,Flop,1,1659,-1659,FOLD,0,"['9s', 'Ad']","['5s', '6s']","['6h', '4d', '9h']",,7s,100,100
33,Pre-Flop,1,1759,-1759,DISCARD,0,"['2s', 'Ad']","['3h', 'Ah']","['6h', '2d']",,,1,1
33,Pre-Flop,1,1759,-1759,CALL,0,"['2s', 'Ad']","['9d', 'Ah']","['6h', '2d']",,3h,1,1
33,Pre-Flop,0,1759,-1759,RAISE,98,"['2s', 'Ad']","['9d', 'Ah']","['6h', '2d']",,3h,2,2
33,Pre-Flop,1,1759,-1759,FOLD,0,"['2s', 'Ad']","['9d', 'Ah']","['6h', '2d']",,3h,2,2
34,Pre-Flop,0,1761,-1761,RAISE,98,"['2s', '9s']","['3h', '7d']","['3d', '8s']",,,1,1
34,Pre-Flop,1,1761,-1761,DISCARD,0,"['2s', '9s']","['3h', '7d']","['3d', '8s']",,,2,2
34,Pre-Flop,1,1761,-1761,CALL,0,"['2s', '9s']","['6h', '7d']","['3d', '8s']",,3h,2,2
34,Flop,0,1761,-1761,CHECK,0,"['2s', '9s']","['6h', '7d']","['3d', '8s', 'Ad']",,3h,100,100
34,Flop,1,1761,-1761,CHECK,0,"['2s', '9s']","['6h', '7d']","['3d', '8s', 'Ad']",,3h,100,100
34,Turn,0,1761,-1761,CHECK,0,"['2s', '9s']","['6h', '7d']","['3d', '8s', 'Ad', '7h']",,3h,100,100
34,Turn,1,1761,-1761,FOLD,0,"['2s', '9s']","['6h', '7d']","['3d', '8s', 'Ad', '7h']",,3h,100,100
35,Pre-Flop,1,1861,-1861,DISCARD,0,"['6d', 'As']","['3s', '2h']","['6h', '9s']",,,1,1
35,Pre-Flop,1,1861,-1861,RAISE,82,"['6d', 'As']","['Ah', '2h']","['6h', '9s']",,3s,1,1
35,Pre-Flop,0,1861,-1861,RAISE,16,"['6d', 'As']","['Ah', '2h']","['6h', '9s']",,3s,2,2
35,Pre-Flop,1,1861,-1861,CALL,0,"['6d', 'As']","['Ah', '2h']","['6h', '9s']",,3s,84,84
35,Pre-Flop,0,1861,-1861,CHECK,0,"['6d', 'As']","['Ah', '2h']","['6h', '9s']",,3s,100,100
35,Flop,1,1861,-1861,CHECK,0,"['6d', 'As']","['Ah', '2h']","['6h', '9s', '3d']",,3s,100,100
35,Flop,0,1861,-1861,CHECK,0,"['6d', 'As']","['Ah', '2h']","['6h', '9s', '3d']",,3s,100,100
35,Turn,1,1861,-1861,CHECK,0,"['6d', 'As']","['Ah', '2h']","['6h', '9s', '3d', '6s']",,3s,100,100
35,Turn,0,1861,-1861,CHECK,0,"['6d', 'As']","['Ah', '2h']","['6h', '9s', '3d', '6s']",,3s,100,100
35,River,1,1861,-1861,CHECK,0,"['6d', 'As']","['Ah', '2h']","['6h', '9s', '3d', '6s', 'Ad']",,3s,100,100
35,River,0,1861,-1861,CHECK,0,"['6d', 'As']","['Ah', '2h']","['6h', '9s', '3d', '6s', 'Ad']",,3s,100,100
36,Pre-Flop,0,1961,-1961,RAISE,98,"['8d', '8s']","['7h', '6h']","['2d', '9h']",,,1,1
36,Pre-Flop,1,1961,-1961,FOLD,0,"['8d', '8s']","['7h', '6h']","['2d', '9h']",,,2,2
37,Pre-Flop,1,1963,-1963,CALL,0,"['7s', '4d']","['As', '2h']","['5h', 'Ad']",,,1,1
37,Pre-Flop,0,1963,-1963,RAISE,98,"['7s', '4d']","['As', '2h']","['5h', 'Ad']",,,2,2
37,Pre-Flop,1,1963,-1963,FOLD,0,"['7s', '4d']","['As', '2h']","['5h', 'Ad']",,,2,2
38,Pre-Flop,0,1965,-1965,RAISE,98,"['5d', 'Ad']","['7s', 'As']","['3d', '6h']",,,1,1
38,Pre-Flop,1,1965,-1965,FOLD,0,"['5d', 'Ad']","['7s', 'As']","['3d', '6h']",,,2,2
39,Pre-Flop,1,1967,-1967,DISCARD,0,"['3h', '7d']","['6h', '4h']","['6d', '5h']",,,1,1
39,Pre-Flop,1,1967,-1967,RAISE,28,"['3h', '7d']","['6h', 'As']","['6d', '5h']",,4h,1,1
39,Pre-Flop,0,1967,-1967,RAISE,70,"['3h', '7d']","['6h', 'As']","['6d', '5h']",,4h,2,2
39,Pre-Flop,1,1967,-1967,FOLD,0,"['3h', '7d']","['6h', 'As']","['6d', '5h']",,4h,30,30
40,Pre-Flop,0,1997,-1997,RAISE,98,"['2d', '3d']","['8h', '6d']","['4h', '8d']",,,1,1
40,Pre-Flop,1,1997,-1997,DISCARD,0,"['2d', '3d']","['8h', '6d']","['4h', '8d']",,,2,2
40,Pre-Flop,1,1997,-1997,CALL,0,"['2d', '3d']","['Ad', '6d']","['4h', '8d']",,8h,2,2
40,Flop,0,1997,-1997,CHECK,0,"['2d', '3d']","['Ad', '6d']","['4h', '8d', '5d']",,8h,100,100
40,Flop,1,1997,-1997,CHECK,0,"['2d', '3d']","['Ad', '6d']","['4h', '8d', '5d']",,8h,100,100
40,Turn,0,1997,-1997,CHECK,0,"['2d', '3d']","['Ad', '6d']","['4h', '8d', '5d', '4s']",,8h,100,100
40,Turn,1,1997,-1997,FOLD,0,"['2d', '3d']","['Ad', '6d']","['4h', '8d', '5d', '4s']",,8h,100,100
41,Pre-Flop,1,2097,-2097,DISCARD,0,"['2d', '8s']","['3s', '7s']","['3h', '3d']",,,1,1
41,Pre-Flop,1,2097,-2097,CALL,0,"['2d', '8s']","['8h', '7s']","['3h', '3d']",,3s,1,1
41,Pre-Flop,0,2097,-2097,RAISE,98,"['2d', '8s']","['8h', '7s']","['3h', '3d']",,3s,2,2
41,Pre-Flop,1,2097,-2097,CALL,0,"['2d', '8s']","['8h', '7s']","['3h', '3d']",,3s,2,2
41,Pre-Flop,0,2097,-2097,CHECK,0,"['2d', '8s']","['8h', '7s']","['3h', '3d']",,3s,100,100
41,Flop,1,2097,-2097,FOLD,0,"['2d', '8s']","['8h', '7s']","['3h', '3d', '5d']",,3s,100,100
42,Pre-Flop,0,2197,-2197,RAISE,98,"['8s', '7d']","['4h', '9s']","['Ad', '5d']",,,1,1
42,Pre-Flop,1,2197,-2197,CALL,0,"['8s', '7d']","['4h', '9s']","['Ad', '5d']",,,2,2
42,Flop,0,2197,-2197,CHECK,0,"['8s', '7d']","['4h', '9s']","['Ad', '5d', '6d']",,,100,100
42,Flop,1,2197,-2197,FOLD,0,"['8s', '7d']","['4h', '9s']","['Ad', '5d', '6d']",,,100,100
43,Pre-Flop,1,2297,-2297,RAISE,8,"['5s', '6h']","['2d', '9d']","['Ah', '4s']",,,1,1
43,Pre-Flop,0,2297,-2297,RAISE,90,"['5s', '6h']","['2d', '9d']","['Ah', '4s']",,,2,2
43,Pre-Flop,1,2297,-2297,FOLD,0,"['5s', '6h']","['2d', '9d']","['Ah', '4s']",,,10,10
44,Pre-Flop,0,2307,-2307,RAISE,98,"['5h', 'Ad']","['2d', '8d']","['9s', '6h']",,,1,1
44,Pre-Flop,1,2307,-2307,DISCARD,0,"['5h', 'Ad']","['2d', '8d']","['9s', '6h']",,,2,2
44,Pre-Flop,1,2307,-2307,FOLD,0,"['5h', 'Ad']","['2d', '9h']","['9s', '6h']",,8d,2,2
45,Pre-Flop,1,2309,-2309,FOLD,0,"['2s', '9h']","['3d', '5s']","['6d', 'Ah']",,,1,1
46,Pre-Flop,0,2310,-2310,RAISE,98,"['2d', 'Ad']","['8h', '8d']","['5s', '9s']",,,1,1
46,Pre-Flop,1,2310,-2310,DISCARD,0,"['2d', 'Ad']","['8h', '8d']","['5s', '9s']",,,2,2
46,Pre-Flop,1,2310,-2310,CALL,0,"['2d', 'Ad']","['8h', '9h']","['5s', '9s']",,8d,2,2
